id,name,longname,nationality,age,ova,pot,club,contract,positions,height,weight,preferred_foot,bov,best_position,joined,loan_date_end,value,wage,release_clause,attacking,crossing,finishing,heading_accuracy,short_passing,volleys,skill,dribbling,curve,fk_accuracy,long_passing,ball_control,movement,acceleration,sprint_speed,agility,reactions,balance,power,shot_power,jumping,stamina,strength,long_shots,mentality,aggression,interceptions,positioning,vision,penalties,composure,defending,marking,standing_tackle,sliding_tackle,goalkeeping,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,total_stats,base_stats,wf,sm,aw,dw,ir,pac,sho,pas,dri,def,phy,hits,contract_start,contract_end,contract_length,value_per_overall,age_group
158023,L. Messi,Lionel Messi,Argentina,33,93,93,"



FC Barcelona",2004 ~ 2021,"RW, ST, CF",170.0,72.0,Left,93,RW,"Jul 1, 2004",Not on Loan,103.5,560000.0,138.4,429,85,95,70,91,88,470,96,93,94,91,96,451,91,80,91,94,95,389,86,68,72,69,94,347,44,40,93,95,75,96,91,32,35,24,54,6,11,15,14,8,2231,466,4,4,Medium,Low,5 ★,85,92,91,95,38,65,771,2004.0,2021.0,17.0,1.1129032258064515,Veteran
20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,Portugal,35,92,92,"



Juventus",2018 ~ 2022,"ST, LW",187.0,83.0,Right,92,ST,"Jul 10, 2018",Not on Loan,63000000.0,220000.0,75.9,437,84,95,90,82,86,414,88,81,76,77,92,431,87,91,87,95,71,444,94,95,84,78,93,353,63,29,95,82,84,95,84,28,32,24,58,7,11,15,14,11,2221,464,4,5,High,Low,5 ★,89,93,81,89,35,77,562,2018.0,2022.0,4.0,684782.6086956522,Veteran
200389,J. Oblak,Jan Oblak,Slovenia,27,91,93,"



Atlético Madrid",2014 ~ 2023,GK,188.0,87.0,Right,91,GK,"Jul 16, 2014",Not on Loan,120000000.0,125000.0,159.4,95,13,11,15,43,13,109,12,13,14,40,30,307,43,60,67,88,49,268,59,78,41,78,12,140,34,19,11,65,11,68,57,27,12,18,437,87,92,78,90,90,1413,489,3,1,Medium,Medium,3 ★,87,92,78,90,52,90,150,2014.0,2023.0,9.0,1318681.3186813188,Prime
192985,K. De Bruyne,Kevin De Bruyne,Belgium,29,91,91,"



Manchester City",2015 ~ 2023,"CAM, CM",181.0,70.0,Right,91,CAM,"Aug 30, 2015",Not on Loan,129000000.0,370000.0,161000000.0,407,94,82,55,94,82,441,88,85,83,93,92,398,77,76,78,91,76,408,91,63,89,74,91,408,76,66,88,94,84,91,186,68,65,53,56,15,13,5,10,13,2304,485,5,4,High,High,4 ★,76,86,93,88,64,78,207,2015.0,2023.0,8.0,1417582.4175824176,Prime
190871,Neymar Jr,Neymar da Silva Santos Jr.,Brazil,28,91,91,"



Paris Saint-Germain",2017 ~ 2022,"LW, CAM",175.0,68.0,Right,91,LW,"Aug 3, 2017",Not on Loan,132000000.0,270000.0,166.5,408,85,87,62,87,87,448,95,88,89,81,95,453,94,89,96,91,83,357,80,62,81,50,84,356,51,36,87,90,92,93,94,35,30,29,59,9,9,15,15,11,2175,451,5,5,High,Medium,5 ★,91,85,86,94,36,59,595,2017.0,2022.0,5.0,1450549.4505494505,Prime
188545,R. Lewandowski,Robert Lewandowski,Poland,31,91,91,"



FC Bayern München",2014 ~ 2023,ST,184.0,80.0,Right,91,ST,"Jul 1, 2014",Not on Loan,111000000.0,240000.0,132000000.0,423,71,94,85,84,89,407,85,79,85,70,88,407,77,78,77,93,82,420,89,84,76,86,85,391,81,49,94,79,88,88,96,35,42,19,51,15,6,12,8,10,2195,457,4,4,High,Medium,4 ★,78,91,78,85,43,82,248,2014.0,2023.0,9.0,1219780.2197802197,Veteran
209331,M. Salah,Mohamed Salah,Egypt,28,90,90,"



Liverpool",2017 ~ 2023,RW,175.0,71.0,Left,90,RW,"Jul 1, 2017",Not on Loan,120.5,250000.0,144.3,392,79,91,59,84,79,406,90,83,69,75,89,460,94,92,91,92,91,393,80,69,85,75,84,376,63,55,91,84,83,90,122,38,43,41,62,14,14,9,11,14,2211,470,3,4,High,Medium,3 ★,93,86,81,90,45,75,246,2017.0,2023.0,6.0,1.3388888888888888,Prime
212831,Alisson,Alisson Ramses Becker,Brazil,27,90,91,"



Liverpool",2018 ~ 2024,GK,191.0,91.0,Right,90,GK,"Jul 19, 2018",Not on Loan,102000000.0,160000.0,120.3,114,17,13,19,45,20,138,27,19,18,44,30,268,56,47,40,88,37,240,64,52,32,78,14,140,27,11,13,66,23,65,50,15,19,16,439,86,88,85,91,89,1389,490,3,1,Medium,Medium,3 ★,86,88,85,89,51,91,120,2018.0,2024.0,6.0,1133333.3333333333,Prime
231747,K. Mbappé,Kylian Mbappé,France,21,90,95,"



Paris Saint-Germain",2018 ~ 2022,"ST, LW, RW",178.0,73.0,Right,91,ST,"Jul 1, 2018",Not on Loan,185.5,160000.0,203.1,408,78,91,73,83,83,394,92,79,63,70,90,458,96,96,92,92,82,404,86,77,86,76,79,341,62,38,91,80,70,84,100,34,34,32,42,13,5,7,11,6,2147,466,4,5,High,Low,3 ★,96,86,78,91,39,76,1.6K,2018.0,2022.0,4.0,2.061111111111111,Young
192448,M. ter Stegen,Marc-André ter Stegen,Germany,28,90,93,"



FC Barcelona",2014 ~ 2022,GK,187.0,85.0,Right,90,GK,"Jul 1, 2014",Not on Loan,110000000.0,260000.0,147.7,118,18,14,11,61,14,144,21,18,12,63,30,254,38,50,37,86,43,268,66,79,35,78,10,171,43,22,11,70,25,70,48,25,13,10,439,88,85,88,88,90,1442,484,4,1,Medium,Medium,3 ★,88,85,88,90,45,88,130,2014.0,2022.0,8.0,1222222.2222222222,Prime
